client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;report_generated_at;status_flag;comment
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;ok;
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непродлено;2025-09-01;ok;
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непродлено;2025-09-01;ok;
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;2025-09-01;ok;Метка СТОП в июле — внутри флайта, отгрузок после неё не было.
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);2025-09-01;ok;
311;310|311;Гамма Ритейл Про;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;ok;project_id сменился 310->311 (см. projects_history), отгрузки без разрыва — верно объединено в одного клиента.
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непродлено;2025-09-01;ok;
321;320|321;Дельта Реклама;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;flagged_review;В апреле-июне 2024 отгрузки идут ОДНОВРЕМЕННО и по 320, и по 321 (двойной биллинг на переезде project_id). На статус клиента не влияет, но искажает суммы — нужно уточнить у биллинга/заказчика.
321;320|321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;отвал (предположительно);2025-09-01;corrected;Изменено с 'непролонгировано': отгрузки обрываются в сентябре, за 3 мес. до планового конца флайта (декабрь), метки стоп/энд нет. Похоже на резкий уход, а не на 'доработали флайт и не продлились'. Нет явной метки — допущение, нужно подтверждение у заказчика.
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;требует уточнения;2025-09-01;flagged_review;Исходный отчёт склеил январь-декабрь 2024 в один 12-мес. флайт 'Мониторинг СМИ', но по service_changes услуга сменилась только 2024-07-01 — до этого действовал Крауд-маркетинг (срок 6 мес., что подтверждается отгрузками январь-июнь). После июня — разрыв в отгрузках на 4 месяца (июль-октябрь) без единой метки label. Неясно: реальная приостановка сотрудничества, отложенный платёж или пропуск данных в выгрузке. Нужен вопрос заказчику.
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-11-01;2025-10-01;2025-02-01;отвал (предположительно);2025-09-01;flagged_review;Начало флайта — по первой реальной отгрузке ПОСЛЕ 4-месячного разрыва (ноябрь 2024), т.к. непонятно, когда фактически стартовал 'новый' флайт. Отгрузки обрываются в феврале 2025 — на 8 мес. раньше планового конца (октябрь 2025), меток нет. Вся сегментация этого проекта требует ручной проверки с заказчиком.
331;331;Титан Строй;Мониторинг СМИ (номинально, до смены услуги 2024-07-01);12;1;2024-01-01;2024-06-01;2024-06-01;сменил услугу (флайт прерван досрочно);2025-09-01;flagged_review;Исходный отчёт применил ТЕКУЩИЙ service_type/term_months (Управление репутацией, 6 мес.) ко всему периоду. Но по service_changes до 2024-07-01 у проекта была услуга 'Мониторинг СМИ' (срок 12 мес.) — фактически клиент проработал на ней только 6 из 12 мес. и сменил услугу, не дойдя до планового конца. Это не 'продление' и не 'отток' в чистом виде — нужна отдельная категория статуса и решение, как учитывать такие переходы в метрике оттока.
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непродлено;2025-09-01;ok;
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;corrected;Изменено с 'отвал': исходный отчёт взял last_active=апрель (по-видимому, из-за метки СТОП в мае с суммой 0), но в ИЮНЕ отгрузка возобновилась (310000) — то есть в пределах планового флайта (янв-июнь) отгрузки были практически весь срок. Метка 'стоп' похожа на разовую аномалию/паузу, а не на настоящий уход: клиент продолжил платить и в июле (уже следующий флайт). Также исправлен flight_no (в исходном отчёте у обоих флайтов клиента 340 стоял flight_no=1).
340;340;Сигма Групп;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;отвал (предположительно);2025-09-01;corrected;"flight_no исправлен на 2 (было 1); flight_start/flight_end сдвинуты на месяц вперёд (в исходном отчёте новый флайт начинался в июне, накладываясь на предыдущий флайт, который тоже включал июнь). Отгрузки обрываются в сентябре, на 2 мес. раньше планового конца, метки нет — похоже на резкий уход без пометки. Ставит под сомнение надёжность поля label как единственного критерия 'отвала' (см. флайт 1 того же клиента — обратная ситуация)."
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;2025-09-01;corrected;Изменено с 'неизвестно': report_generated_at=2025-09-01, отчёт собран сразу после конца флайта, продление ещё не было видно на тот момент. По более свежим данным works.csv отгрузки идут без разрыва как минимум по январь 2026 — флайт точно продлён.
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2026-01-01;в процессе / неизвестно;2025-09-01;new_row;Новая строка, в исходном отчёте отсутствовала. Второй флайт ещё не завершился по графику (план — февраль 2026), а доступные данные обрываются январём 2026 — рано делать вывод о продлении.
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;непродлено;2025-09-01;corrected;Изменено с 'неизвестно': на момент составления отчёта (через месяц после конца флайта) действительно было рано судить. Но отгрузок нет вплоть до конца доступных данных (январь 2026) — 5+ месяцев тишины, продления не произошло.
